Abbreviation,FactorName,FactorCategory,DonorHb_Cat,Base_Pre,Base_Pre_SE,Full_Pre,Full_Pre_SE,Base_Post,Base_Post_SE,Full_Post,Full_Post_SE,Base_Diff,Base_Diff_SE,Base_Diff_LCL,Base_Diff_UCL,Full_Diff,Full_Diff_SE,Full_Diff_LCL,Full_Diff_UCL,Storage_Cat,DonorSex,DonorParity,wdy_donation
Hjärtfrekv,DonorParity,1,,88.003477507,0.4413946448,87.953549624,0.4400906626,87.10805649,0.4413924724,87.033154145,0.4400982475,-0.895421017,0.624224757,-2.118901541,0.3280595063,-0.920395479,0.6223875471,-2.140275071,0.2994841138,,,1,
Hjärtfrekv,wdy_donation,1,,112.48517045,0.7678038737,112.70181398,0.76613235,111.59048822,0.7678076747,111.78199099,0.7661400816,-0.894682228,1.0858413391,-3.022931252,1.2335667969,-0.919822988,1.083480227,-3.043444233,1.2037982565,,,,1
Hjärtfrekv,wdy_donation,2,,87.684934923,0.441729757,87.624323022,0.4404441642,86.790252695,0.4417276571,86.704500033,0.4404519416,-0.894682228,0.6246987284,-2.119091735,0.32972728,-0.919822988,0.62288761,-2.140682704,0.3010367272,,,,2
Hjärtfrekv,wdy_donation,3,,87.421368212,0.4417308956,87.373082264,0.4404458187,86.526685984,0.4417287575,86.453259276,0.4404535785,-0.894682228,0.6247003116,-2.119094838,0.329730383,-0.919822988,0.6228899373,-2.140687266,0.3010412887,,,,3
Hjärtfrekv,wdy_donation,4,,87.963084208,0.4417022831,87.921394761,0.4404184207,87.068401981,0.4417004097,87.001571772,0.4404264411,-0.894682228,0.6246600346,-2.119015896,0.32965144,-0.919822988,0.622851375,-2.140611683,0.3009657065,,,,4
Hjärtfrekv,wdy_donation,5,,88.575805934,0.4417675061,88.551630916,0.440487809,87.681123706,0.4417655984,87.631807928,0.4404957351,-0.894682228,0.6247522496,-2.119196637,0.3298321815,-0.919822988,0.6229494382,-2.140803887,0.3011579104,,,,5
Hjärtfrekv,wdy_donation,6,,87.835270422,0.4420277884,87.84481671,0.440738708,86.940588194,0.442026077,86.924993721,0.440746372,-0.894682228,0.6251204832,-2.119918375,0.3305539193,-0.919822988,0.6233040776,-2.141498981,0.3018530036,,,,6
Hjärtfrekv,wdy_donation,7,,87.511801351,0.4422871773,87.486831193,0.4410172704,86.617119123,0.4422857053,86.567008204,0.4410261323,-0.894682228,0.6254874838,-2.120637696,0.3312732404,-0.919822988,0.6236988714,-2.142272776,0.3026267994,,,,7
FIO2(u),DonorHb_Cat,1,1,37.68322952,0.4590378456,38.028122004,0.4574211529,37.934236681,0.459031339,38.238669898,0.457428308,0.2510071613,0.6491729461,-1.021371813,1.5233861356,0.2105478935,0.6468962576,-1.057368771,1.4784645583,,,,
FIO2(u),DonorHb_Cat,2,2,37.360472369,0.4583200217,37.694616049,0.4566969585,37.61147953,0.4583130311,37.905163943,0.4567032149,0.2510071613,0.6481574476,-1.019381436,1.5213957585,0.2105478935,0.6458714565,-1.055360161,1.4764559482,,,,
FIO2(u),DonorHb_Cat,3,3,37.044188862,0.4583022489,37.372498512,0.4566806501,37.295196024,0.4582958126,37.583046405,0.4566875433,0.2510071613,0.6481327049,-1.01933294,1.5213472629,0.2105478935,0.6458488433,-1.055315839,1.4764116264,,,,
