Abbreviation,TimeFromTransfusion,Z_Mean,VitalName,PlotOrder,Pred,LCL,UCL,VitalParam
ARTd,-612.122,0.166524929,Diastolic Blood Pressure (mmHg),3,0.040764732,-0.021437133,0.102966598,ARTd
ARTd,-611.9871667,-0.58593645,Diastolic Blood Pressure (mmHg),3,0.040756853,-0.021459861,0.102973568,ARTd
ARTd,-611.6061667,0.037356416,Diastolic Blood Pressure (mmHg),3,0.040733765,-0.021525291,0.102992821,ARTd
ARTd,-611.4776667,-0.199396798,Diastolic Blood Pressure (mmHg),3,0.040725704,-0.021547758,0.102999166,ARTd
ARTd,-610.8306667,0.082753,Diastolic Blood Pressure (mmHg),3,0.040683019,-0.0216639,0.103029938,ARTd
ARTd,-610.317,-0.177292897,Diastolic Blood Pressure (mmHg),3,0.040646645,-0.021759646,0.103052935,ARTd
ARTd,-610.1483333,0.045603586,Diastolic Blood Pressure (mmHg),3,0.040634222,-0.021791758,0.103060202,ARTd
ARTd,-609.7405,0.034458762,Diastolic Blood Pressure (mmHg),3,0.040603207,-0.021870764,0.103077177,ARTd
ARTd,-609.0683333,-0.078227793,Diastolic Blood Pressure (mmHg),3,0.040549079,-0.022005115,0.103103274,ARTd
ARTd,-607.9943333,-0.325890553,Diastolic Blood Pressure (mmHg),3,0.040454845,-0.022230223,0.103139913,ARTd
ARTd,-607.5515,-0.133456589,Diastolic Blood Pressure (mmHg),3,0.040413224,-0.022326689,0.103153138,ARTd
ARTd,-607.3278333,-0.527983364,Diastolic Blood Pressure (mmHg),3,0.040391591,-0.022376206,0.103159387,ARTd
ARTd,-606.6466667,0.304535001,Diastolic Blood Pressure (mmHg),3,0.040323182,-0.022530243,0.103176607,ARTd
ARTd,-605.7536667,0.466630277,Diastolic Blood Pressure (mmHg),3,0.04022776,-0.022739411,0.103194931,ARTd
ARTd,-605.3176667,0.082753,Diastolic Blood Pressure (mmHg),3,0.040178814,-0.022844448,0.103202076,ARTd
ARTd,-605.1826667,0.045603586,Diastolic Blood Pressure (mmHg),3,0.040163346,-0.022877352,0.103204044,ARTd
ARTd,-604.675,-0.400189381,Diastolic Blood Pressure (mmHg),3,0.040103857,-0.02300268,0.103210394,ARTd
ARTd,-604.0086667,0.219091349,Diastolic Blood Pressure (mmHg),3,0.040022613,-0.023170945,0.10321617,ARTd
ARTd,-603.2271667,-0.351152154,Diastolic Blood Pressure (mmHg),3,0.039922768,-0.023373619,0.103219154,ARTd
ARTd,-602.9205,0.095136138,Diastolic Blood Pressure (mmHg),3,0.039882247,-0.023454691,0.103219184,ARTd
ARTd,-602.3673333,0.203488595,Diastolic Blood Pressure (mmHg),3,0.039807249,-0.023603084,0.103217583,ARTd
ARTd,-601.8668333,0.429728526,Diastolic Blood Pressure (mmHg),3,0.039737284,-0.023739704,0.103214272,ARTd
ARTd,-601.594,-0.177292897,Diastolic Blood Pressure (mmHg),3,0.039698303,-0.023815106,0.103211711,ARTd
ARTd,-600.7863333,-0.285769186,Diastolic Blood Pressure (mmHg),3,0.039579433,-0.024042091,0.103200956,ARTd
ARTd,-600.4138333,0.194201242,Diastolic Blood Pressure (mmHg),3,0.039522863,-0.024148648,0.103194374,ARTd
ARTd,-599.7036667,-0.102994069,Diastolic Blood Pressure (mmHg),3,0.039411969,-0.024355002,0.103178939,ARTd
ARTd,-598.8006667,0.194201242,Diastolic Blood Pressure (mmHg),3,0.03926521,-0.024623328,0.103153748,ARTd
ARTd,-598.233,0.26850007,Diastolic Blood Pressure (mmHg),3,0.039169664,-0.024795335,0.103134663,ARTd
ARTd,-597.233,-0.406876275,Diastolic Blood Pressure (mmHg),3,0.0389952,-0.025104424,0.103094824,ARTd
ARTd,-596.925,0.491396553,Diastolic Blood Pressure (mmHg),3,0.038939887,-0.025201157,0.103080931,ARTd
ARTd,-596.4126667,0.677143623,Diastolic Blood Pressure (mmHg),3,0.038846237,-0.025363633,0.103056108,ARTd
ARTd,-595.8611667,0.222063302,Diastolic Blood Pressure (mmHg),3,0.03874314,-0.025540691,0.10302697,ARTd
ARTd,-595.364,0.379948312,Diastolic Blood Pressure (mmHg),3,0.038648168,-0.025702196,0.102998532,ARTd
ARTd,-595.2095,-0.509780152,Diastolic Blood Pressure (mmHg),3,0.038618263,-0.025752746,0.102989272,ARTd
ARTd,-594.576,-0.303972399,Diastolic Blood Pressure (mmHg),3,0.038493699,-0.025961789,0.102949187,ARTd
ARTd,-594.2073333,-0.028695241,Diastolic Blood Pressure (mmHg),3,0.038419773,-0.026084736,0.102924283,ARTd
ARTd,-593.4113333,0.370289464,Diastolic Blood Pressure (mmHg),3,0.03825656,-0.026353392,0.102866511,ARTd
ARTd,-592.9445,-0.0608914,Diastolic Blood Pressure (mmHg),3,0.038158553,-0.026512954,0.10283006,ARTd
