DonorParity,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,VitalParam,CompFactor,CompName,VitalName,YLabel
1,87,81.532989622,2.1061384907,80.731463458,2.0916968623,76.631800445,84.831126471,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,88,81.532194488,2.1061419009,80.731201534,2.0917005846,76.631531226,84.830871843,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,89,81.531529483,2.1061459569,80.731075175,2.0917049445,76.631396322,84.830754029,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,90,81.530993672,2.1061506216,80.731083407,2.0917099052,76.631394831,84.830771984,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,91,81.530586124,2.106155859,80.731225256,2.0917154307,76.631525849,84.830924662,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,92,81.530305904,2.1061616337,80.731499746,2.0917214858,76.631788472,84.83121102,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,93,81.53015208,2.1061679114,80.731905903,2.0917280363,76.63218179,84.831630016,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,94,81.530123718,2.1061746583,80.732442753,2.0917350488,76.632704896,84.832180611,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,95,81.530219886,2.1061818418,80.733109322,2.0917424905,76.633356879,84.832861765,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,96,81.530439649,2.1061894299,80.733904634,2.0917503298,76.634136827,84.833672442,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,97,81.530782076,2.1061973915,80.734827716,2.0917585356,76.635043825,84.834611607,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,98,81.531246232,2.1062056961,80.735877592,2.0917670777,76.636076959,84.835678225,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,99,81.531831184,2.1062143143,80.737053289,2.0917759266,76.637235313,84.836871266,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,100,81.532536,2.1062232172,80.738353832,2.0917850537,76.638517966,84.838189697,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,101,81.533359746,2.1062323768,80.739778245,2.0917944311,76.639924,84.83963249,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,102,81.534301489,2.1062417659,80.741325556,2.0918040316,76.641452494,84.841198617,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,103,81.535360296,2.1062513578,80.742994788,2.091813829,76.643102524,84.842887053,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
